"","SRR21765427_OE","SRR21765428_OE","SRR21765429_OE","SRR21765430_CTL","SRR21765431_CTL","SRR21765432_CTL","ENSEMBL"
"ENST00000684784.1",-1.00511893262014,-0.964872749045109,-0.755797007667795,0.826968003316809,0.970520948254457,0.928299737761775,"ENST00000684784"
"ENST00000301178.9",0.875787723539875,0.843139320686981,1.01107828846795,-0.952575975859724,-0.808701883370857,-0.968727473464225,"ENST00000301178"
"ENST00000408993.6",0.74165104173549,0.902998287486761,1.07526940121098,-0.968400419193578,-0.818157199447273,-0.933361111792381,"ENST00000408993"
"ENST00000254508.7",-1.0043120820342,-0.936254632308125,-0.770470236685701,0.69509532856054,1.06270787070027,0.953233751767215,"ENST00000254508"
"ENST00000341255.4",-0.980138117655943,-0.956628237049689,-0.78198340968895,0.75287593846216,1.0652214950881,0.900652330844324,"ENST00000341255"
"ENST00000403663.6",-0.975502780904424,-0.912178341094902,-0.809835547259742,0.599217764009095,1.04954206497981,1.04875684027016,"ENST00000403663"
"ENST00000530758.2",-1.01617595260117,-0.94811092529083,-0.746533729025591,0.732571672141419,1.08336835135625,0.894880583419923,"ENST00000530758"
"ENST00000373237.4",-0.999881349292042,-0.913387101744034,-0.783901090041062,0.621693753495207,1.11242850626542,0.963047281316506,"ENST00000373237"
"ENST00000330137.12",-0.945052865866967,-0.94150468217547,-0.806138277782947,0.705867459077723,1.21544204424946,0.771386322498202,"ENST00000330137"
"ENST00000240100.7",-1.01295672515332,-0.925797257050322,-0.769021162752618,0.673821368122068,0.978862955554863,1.05509082127933,"ENST00000240100"
"ENST00000299163.7",-0.920561638991564,-0.907247988798154,-0.90144666296295,0.816121948286761,1.05846105926168,0.854673283204233,"ENST00000299163"
"ENST00000216832.9",0.829876042131176,0.924898924389126,0.97115509794385,-0.959470609762063,-0.756833215239717,-1.00962623946237,"ENST00000216832"
"ENST00000250896.9",-0.973937645562333,-0.94046073114119,-0.76500470814766,0.602803946402959,1.21471142192804,0.861887716520182,"ENST00000250896"
"ENST00000307892.13",-0.960563388948318,-0.908993890049517,-0.844401481244458,0.837800902270818,1.13319391595122,0.742963942020257,"ENST00000307892"
