"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000430262.3",-0.993562984746307,4.81897624244064,-11.1867112431675,3.62931958046521e-05,0.015380644680643,3.03799768367287
"ENST00000698248.1",2.29527724442636,2.59923802100407,13.2739257322124,1.37993966448731e-05,0.010515840057749,3.00238472694878
"ENST00000404251.1",-0.859961514405703,5.3093693715702,-11.0092723311742,3.9702414149858e-05,0.0160844772939558,2.99378722859044
"ENST00000257836.4",-1.54492907373837,3.14860318591212,-12.1038263012809,2.3280187426341e-05,0.0130029467153814,2.97618025847509
"ENST00000217026.5",-0.684297691378124,7.62268529614185,-11.1721929114365,3.65589813589482e-05,0.015380644680643,2.96439864915093
"ENST00000354666.4",0.78891136001238,6.40507912459366,10.9250236515908,4.14508319265421e-05,0.0163095604296866,2.94577781641857
"ENST00000462833.6",0.760187579523007,6.4723594837882,10.8959809162603,4.20742148086447e-05,0.0164365925451028,2.92659953860694
"ENST00000671844.1",1.27570837536667,6.0297008240031,10.85396539743,4.29954644850369e-05,0.0165599150958848,2.92426339639386
"ENST00000249700.9",-1.24940942610222,3.55469167658532,-11.4947973889343,3.1150168362242e-05,0.0146867673109288,2.9115428059005
"ENST00000425460.6",-0.890487431875316,7.5674749841692,-10.9805280296721,4.02891202115505e-05,0.0162021511956626,2.86907797984702
"ENST00000380332.5",0.655152704122306,6.59876910427302,10.771492330264,4.48729538055374e-05,0.0168759265501848,2.85123848317394
"ENST00000247225.7",-0.982043458994122,4.82393546211318,-10.7636686074801,4.50559640029896e-05,0.0168759265501848,2.84243935023194
"ENST00000262644.9",-0.793390220985984,5.32463690850442,-10.6684076865716,4.73554198462912e-05,0.016927860276035,2.8263813000928
"ENST00000292591.12",-2.07176383588437,5.19038973111656,-10.6932235863417,4.67435064656412e-05,0.016927860276035,2.82274411528367
"ENST00000373202.8",-0.675465684707812,6.54263242467771,-10.7028980290807,4.65074487416175e-05,0.016927860276035,2.81832217571268
"ENST00000395842.3",-1.34252359189621,3.8238204377048,-11.0298537808361,3.92884278029872e-05,0.0160844772939558,2.79646363788149
"ENST00000415428.5",-1.24271395343478,5.67460951994138,-10.576548345926,4.97030592341742e-05,0.0175378046170029,2.78393595566071
"ENST00000450894.7",-0.753495466906729,7.21511263353886,-10.7507392633545,4.53603104948224e-05,0.0168759265501848,2.78338220881932
"ENST00000313766.6",-0.958209278430604,4.48482177903956,-10.6984392590439,4.66160705985827e-05,0.016927860276035,2.77600554147178
"ENST00000374399.9",-1.65222343094807,2.82705077642985,-11.8539885688207,2.61900689034402e-05,0.0137323996629126,2.7731845873823
"ENST00000370996.5",0.700652260511653,5.9271113672644,10.5617595007309,5.00935426117545e-05,0.0175622822597569,2.7719988269437
"ENST00000221132.8",-1.66768372955118,2.7317304316921,-11.9768583120492,2.47090945995836e-05,0.013380097047925,2.7715507705794
"ENST00000300456.5",-0.643561200914382,6.13269521793965,-10.478113937555,5.23704761402212e-05,0.0182436056118534,2.71954068456809
"ENST00000392097.5",1.1179628732202,4.12622311803286,10.6800158786985,4.70680308113864e-05,0.016927860276035,2.71311473246585
"ENST00000323482.9",0.819363771177923,5.55276113091868,10.400347407539,5.45960186369093e-05,0.0186622840705615,2.6915155217637
"ENST00000448926.5",-0.87478028498096,6.40727939334118,-10.4455606048455,5.32890060172935e-05,0.0184259282550247,2.68749489374724
"ENST00000297632.8",-1.0515586756321,3.7914500235838,-10.7377986084825,4.56673211699582e-05,0.0168759265501848,2.67576064046002
"ENST00000372764.4",-2.06909854165903,2.97977245296498,-11.3138172446037,3.40598776594584e-05,0.0151432665897237,2.63220595770968
"ENST00000395384.9",0.620023409073264,6.43229149647178,10.3242412794616,5.68812456892032e-05,0.019008062780048,2.6165484805309
"ENST00000455354.1",0.81521198730695,7.19911718768999,10.4358136924087,5.35676624103876e-05,0.0184259282550247,2.60742270008429
"ENST00000303221.10",-0.761739686130648,5.49429901003725,-10.2391181460908,5.95702108067326e-05,0.0194848295330152,2.60572621602525
"ENST00000337352.10",-2.37579606733865,3.34607476448236,-10.9650505385211,4.06092118167833e-05,0.0162116716254271,2.60481820378759
"ENST00000007699.10",-1.01952693728161,4.57128955317337,-10.3140626009957,5.71952371510847e-05,0.019008062780048,2.60142744450893
"ENST00000556029.6",-0.645781142225625,6.40856300864101,-10.2570435061979,5.89918884711721e-05,0.0194360503871406,2.5806936982186
"ENST00000393459.6",-1.33337569091131,3.32923193707627,-10.7768658552305,4.4747758924348e-05,0.0168759265501848,2.57455461803222
"ENST00000358432.8",-0.783846793447096,5.15287883549948,-10.1700864285841,6.18598164604493e-05,0.01978501217459,2.56468510765797
"ENST00000248121.7",-1.1805739929863,4.35728010189899,-10.1795006746605,6.1541621200575e-05,0.01978501217459,2.51073983772844
"ENST00000263025.9",-0.670399812391905,7.45192463243344,-10.3092202168152,5.73453221441512e-05,0.019008062780048,2.50022771151266
"ENST00000636672.2",-1.06489505793102,3.74404728242685,-10.3439041944916,5.62803438491817e-05,0.019008062780048,2.49516055674897
"ENST00000273261.8",0.901959459597542,5.60954583656446,10.0307891984875,6.67989411642138e-05,0.0207577709667794,2.49123908299731
"ENST00000555082.5",-2.09215167234268,3.08782328121065,-10.8033142385911,4.41374445336743e-05,0.0168759265501848,2.485152905285
"ENST00000358056.8",-0.957041937409488,5.74780708006284,-10.0096969039212,6.75861314378198e-05,0.0207735137930181,2.47651167812994
"ENST00000713574.1",-1.5016556558846,6.32748650805454,-9.99869854823776,6.80008787401077e-05,0.0207735137930181,2.44566825065137
"ENST00000377602.5",-1.2056651557108,3.75890120021304,-10.2195603438712,6.02087360323185e-05,0.0194848295330152,2.43927995794268
"ENST00000538012.2",-1.06895404080085,4.73861618767327,-9.95885463909675,6.95283651994455e-05,0.0207735137930181,2.43442957044664
"ENST00000389661.4",1.74938549954595,4.74183346102269,9.942210386838,7.0178237446266e-05,0.0207735137930181,2.4193344059517
"ENST00000309602.5",-0.784631798213547,4.93840517701992,-9.90744449752412,7.15585794874155e-05,0.0207735137930181,2.41847503436999
"ENST00000379205.5",-1.55691389436524,2.7101277306478,-10.8643740759264,4.27650704701867e-05,0.0165599150958848,2.41143137484886
"ENST00000522677.8",-1.43250954562283,3.41275813013445,-10.3092465882945,5.73445035463105e-05,0.019008062780048,2.40122749591422
"ENST00000316999.9",-0.959522574814093,5.03491997408522,-9.86569869317694,7.32579535929778e-05,0.0207735137930181,2.3984973024198
"ENST00000368223.4",-1.1455771821363,4.62697131732202,-9.88146556085812,7.26106665857184e-05,0.0207735137930181,2.38608034018344
"ENST00000262061.7",-1.35965849443921,5.44770113074868,-9.82240532305596,7.50700802042465e-05,0.0207735137930181,2.37813906242703
"ENST00000342983.6",0.663861462412386,7.42391607555393,10.0881372686915,6.47119540545562e-05,0.0203403804089183,2.37257001108927
"ENST00000374759.8",0.764386991325802,5.94769130025199,9.8264473247773,7.48987069572778e-05,0.0207735137930181,2.36338954406561
"ENST00000410023.6",-1.39456567823768,4.23587060071828,-9.85451443446415,7.37211749714179e-05,0.0207735137930181,2.3326238775974
"ENST00000343028.9",-1.15028676255397,5.56188316720413,-9.74314761278313,7.85243206905992e-05,0.0210522164078934,2.33138133259148
